Baseline Output: The Weeknd performs at a live event, showcasing his distinctive style and captivating presence on stage.
Target Text: The Weeknd Performing at the Super Bowl Halftime Show, 2019

Step   0 | Token 0: GT: 'The' | Pred: ' Week'
Step 100 | Token 10: GT: ' Show' | Pred: '.'
Step 100 | Token 11: GT: ',' | Pred: ' '
Step 100 | Token 12: GT: ' ' | Pred: '2'
Step 100 | Token 13: GT: '2' | Pred: '0'
Step 100 | Token 14: GT: '0' | Pred: '2'
Step 100 | Token 15: GT: '1' | Pred: '9'
Step 100 | Token 16: GT: '9' | Pred: '<|im_end|>'
Step 150 | Token 0: GT: 'The' | Pred: ' Week'
Step 150 | Token 1: GT: ' Week' | Pred: 'nd'
Step 150 | Token 2: GT: 'nd' | Pred: ' performs'
Step 150 | Token 3: GT: ' Performing' | Pred: ' at'
Step 150 | Token 4: GT: ' at' | Pred: ' the'
Step 150 | Token 5: GT: ' the' | Pred: ' Super'
Step 150 | Token 6: GT: ' Super' | Pred: ' Bowl'
Step 150 | Token 7: GT: ' Bowl' | Pred: ' Hal'
Step 150 | Token 8: GT: ' Hal' | Pred: 'ftime'
Step 150 | Token 9: GT: 'ftime' | Pred: ' Show'
Step 150 | Token 10: GT: ' Show' | Pred: '.'
Step 150 | Token 11: GT: ',' | Pred: ' '
Step 150 | Token 12: GT: ' ' | Pred: '2'
Step 150 | Token 13: GT: '2' | Pred: '0'
Step 150 | Token 14: GT: '0' | Pred: '2'
Step 150 | Token 15: GT: '1' | Pred: '9'
Step 150 | Token 16: GT: '9' | Pred: '<|im_end|>'
Step 200 | Token 0: GT: 'The' | Pred: ' Week'
Step 200 | Token 1: GT: ' Week' | Pred: 'nd'
Step 200 | Token 2: GT: 'nd' | Pred: ' performs'
Step 200 | Token 3: GT: ' Performing' | Pred: ' at'
Step 200 | Token 4: GT: ' at' | Pred: ' the'
Step 200 | Token 5: GT: ' the' | Pred: ' Super'
Step 200 | Token 6: GT: ' Super' | Pred: ' Bowl'
Step 200 | Token 7: GT: ' Bowl' | Pred: ' Hal'
Step 200 | Token 8: GT: ' Hal' | Pred: 'ftime'
Step 200 | Token 9: GT: 'ftime' | Pred: ' Show'
Step 200 | Token 10: GT: ' Show' | Pred: '.'
Step 200 | Token 11: GT: ',' | Pred: ' '
Step 200 | Token 12: GT: ' ' | Pred: '2'
Step 200 | Token 13: GT: '2' | Pred: '0'
Step 200 | Token 14: GT: '0' | Pred: '2'
Step 200 | Token 15: GT: '1' | Pred: '9'
Step 200 | Token 16: GT: '9' | Pred: '<|im_end|>'
Step 250 | Token 0: GT: 'The' | Pred: ' Week'
Step 250 | Token 1: GT: ' Week' | Pred: 'nd'
Step 250 | Token 2: GT: 'nd' | Pred: ' performs'
Step 250 | Token 3: GT: ' Performing' | Pred: ' at'
Step 250 | Token 4: GT: ' at' | Pred: ' the'
Step 250 | Token 5: GT: ' the' | Pred: ' Super'
Step 250 | Token 6: GT: ' Super' | Pred: ' Bowl'
Step 250 | Token 7: GT: ' Bowl' | Pred: ' Hal'
Step 250 | Token 8: GT: ' Hal' | Pred: 'ftime'
Step 250 | Token 9: GT: 'ftime' | Pred: ' Show'
Step 250 | Token 10: GT: ' Show' | Pred: '.'
Step 250 | Token 11: GT: ',' | Pred: ' '
Step 250 | Token 12: GT: ' ' | Pred: '2'
Step 250 | Token 13: GT: '2' | Pred: '0'
Step 250 | Token 14: GT: '0' | Pred: '2'
Step 250 | Token 15: GT: '1' | Pred: '9'
Step 250 | Token 16: GT: '9' | Pred: '<|im_end|>'
Step 300 | Token 0: GT: 'The' | Pred: ' Week'
Step 300 | Token 1: GT: ' Week' | Pred: 'nd'
Step 300 | Token 2: GT: 'nd' | Pred: ' performs'
Step 300 | Token 3: GT: ' Performing' | Pred: ' at'
Step 300 | Token 4: GT: ' at' | Pred: ' the'
Step 300 | Token 5: GT: ' the' | Pred: ' Super'
Step 300 | Token 6: GT: ' Super' | Pred: ' Bowl'
Step 300 | Token 7: GT: ' Bowl' | Pred: ' Hal'
Step 300 | Token 8: GT: ' Hal' | Pred: 'ftime'
Step 300 | Token 9: GT: 'ftime' | Pred: ' Show'
Step 300 | Token 10: GT: ' Show' | Pred: '.'
Step 300 | Token 11: GT: ',' | Pred: ' '
Step 300 | Token 12: GT: ' ' | Pred: '2'
Step 300 | Token 13: GT: '2' | Pred: '0'
Step 300 | Token 14: GT: '0' | Pred: '2'
Step 300 | Token 15: GT: '1' | Pred: '9'
Step 300 | Token 16: GT: '9' | Pred: '<|im_end|>'
Step 350 | Token 0: GT: 'The' | Pred: ' Week'
Step 350 | Token 1: GT: ' Week' | Pred: 'nd'
Step 350 | Token 2: GT: 'nd' | Pred: ' performs'
Step 350 | Token 3: GT: ' Performing' | Pred: ' at'
Step 350 | Token 4: GT: ' at' | Pred: ' the'
Step 350 | Token 5: GT: ' the' | Pred: ' Super'
Step 350 | Token 6: GT: ' Super' | Pred: ' Bowl'
Step 350 | Token 7: GT: ' Bowl' | Pred: ' Hal'
Step 350 | Token 8: GT: ' Hal' | Pred: 'ftime'
Step 350 | Token 9: GT: 'ftime' | Pred: ' Show'
Step 350 | Token 10: GT: ' Show' | Pred: '.'
Step 350 | Token 11: GT: ',' | Pred: ' '
Step 350 | Token 12: GT: ' ' | Pred: '2'
Step 350 | Token 13: GT: '2' | Pred: '0'
Step 350 | Token 14: GT: '0' | Pred: '2'
Step 350 | Token 15: GT: '1' | Pred: '9'
Step 350 | Token 16: GT: '9' | Pred: '<|im_end|>'
Step 400 | Token 0: GT: 'The' | Pred: ' Week'
Step 400 | Token 1: GT: ' Week' | Pred: 'nd'
Step 400 | Token 2: GT: 'nd' | Pred: ' performs'
Step 400 | Token 3: GT: ' Performing' | Pred: ' at'
Step 400 | Token 4: GT: ' at' | Pred: ' the'
Step 400 | Token 5: GT: ' the' | Pred: ' Super'
Step 400 | Token 6: GT: ' Super' | Pred: ' Bowl'
Step 400 | Token 7: GT: ' Bowl' | Pred: ' Hal'
Step 400 | Token 8: GT: ' Hal' | Pred: 'ftime'
Step 400 | Token 9: GT: 'ftime' | Pred: ' Show'
Step 400 | Token 10: GT: ' Show' | Pred: '.'
Step 400 | Token 11: GT: ',' | Pred: ' '
Step 400 | Token 12: GT: ' ' | Pred: '2'
Step 400 | Token 13: GT: '2' | Pred: '0'
Step 400 | Token 14: GT: '0' | Pred: '2'
Step 400 | Token 15: GT: '1' | Pred: '6'
Step 400 | Token 16: GT: '9' | Pred: '<|im_end|>'
Step 450 | Token 0: GT: 'The' | Pred: ' Week'
Step 450 | Token 1: GT: ' Week' | Pred: 'nd'
Step 450 | Token 2: GT: 'nd' | Pred: ' performs'
Step 450 | Token 3: GT: ' Performing' | Pred: ' At'
Step 450 | Token 4: GT: ' at' | Pred: ' the'
Step 450 | Token 5: GT: ' the' | Pred: ' Super'
Step 450 | Token 6: GT: ' Super' | Pred: ' Bowl'
Step 450 | Token 7: GT: ' Bowl' | Pred: ' Hal'
Step 450 | Token 8: GT: ' Hal' | Pred: 'ftime'
Step 450 | Token 9: GT: 'ftime' | Pred: ' Show'
Step 450 | Token 10: GT: ' Show' | Pred: '.'
Step 450 | Token 11: GT: ',' | Pred: ' '
Step 450 | Token 12: GT: ' ' | Pred: '2'
Step 450 | Token 13: GT: '2' | Pred: '0'
Step 450 | Token 14: GT: '0' | Pred: '2'
Step 450 | Token 15: GT: '1' | Pred: '9'
Step 450 | Token 16: GT: '9' | Pred: '<|im_end|>'
Adversarial output: The Weeknd performs at the Super Bowl halftime show in 2019 with his arms crossed and wearing an embellished jacket over black pants while singing into a microphone against
